Name,API Name,Instance Memory,Compute Units (ECU),vCPUs,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,Placement Group Support,Linux Virtualization,On EMR,Linux On Demand,Linux Reserved cost,RHEL On Demand cost,RHEL Reserved cost,SLES On Demand cost,SLES Reserved cost,Windows On Demand cost,Windows Reserved cost,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,EMR cost
R6G Medium,r6g.medium,8 GiB,0 units,1 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,Up to 10 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,8,2,Yes,Yes,Yes,Unknown,No,$0.0604 hourly,$0.0381 hourly,$0.0748 hourly,$0.0525 hourly,$0.0914 hourly,$0.0511 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
C7GN Extra Large,c7gn.xlarge,8 GiB,0 units,4 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.6 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,Up to 40 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
C6A Large,c6a.large,4 GiB,0 units,2 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R13 Processor,3.6 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,30,3,Yes,Yes,Yes,Unknown,No,$0.0999 hourly,$0.0660 hourly,$0.1637 hourly,$0.1298 hourly,$0.1562 hourly,$0.0910 hourly,$0.1919 hourly,$0.1580 hourly,$0.2595 hourly,$0.2256 hourly,$0.6719 hourly,$0.6380 hourly,unavailable,unavailable,$0.1675 hourly,$0.1336 hourly,$0.5799 hourly,$0.5460 hourly,unavailable,unavailable,unavailable
I7IE 12xlarge,i7ie.12xlarge,384 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Emerald Rapids),3.2 GHz,Yes,Yes,Yes,Yes,30000 GB (4×7500 GB NVMe SSD),Yes,No,x86_64,Up to 50 Gigabit,15000 Mbps,1875 MB/s,60000 IOPS,Yes,400,8,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
R5AD 24xlarge,r5ad.24xlarge,768 GiB,0 units,96 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,unknown,3600 GB (4×900 GB NVMe SSD),Yes,No,x86_64,20 Gigabit,13570 Mbps,1696.25 MB/s,60000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$7.6320 hourly,$4.8080 hourly,$8.6690 hourly,$5.8450 hourly,$7.7570 hourly,$4.8680 hourly,$12.0480 hourly,$9.2240 hourly,$13.6700 hourly,$10.8470 hourly,$23.5680 hourly,$20.7440 hourly,$48.0480 hourly,$45.2240 hourly,$9.2540 hourly,$6.4310 hourly,$19.1520 hourly,$16.3280 hourly,$43.6320 hourly,$40.8080 hourly,$0.2700 hourly
R5D 12xlarge,r5d.12xlarge,384 GiB,168 units,48 vCPUs,0,,0 GiB,0,0,3.5000 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,1800 GB (2×900 GB NVMe SSD),Yes,No,x86_64,12 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$4.1760 hourly,$2.6310 hourly,$5.3660 hourly,$3.8210 hourly,$4.3010 hourly,$2.6910 hourly,$6.3840 hourly,$4.8390 hourly,$7.1950 hourly,$5.6500 hourly,$12.1440 hourly,$10.5990 hourly,$24.3840 hourly,$22.8390 hourly,$4.9870 hourly,$3.4420 hourly,$9.9360 hourly,$8.3910 hourly,$22.1760 hourly,$20.6310 hourly,$0.2700 hourly
R7A Medium,r7a.medium,8 GiB,0 units,1 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,8,2,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
R6IN 24xlarge,r6in.24xlarge,768 GiB,0 units,96 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,150 Gigabit,75000 Mbps,9375 MB/s,300000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$10.1650 hourly,$6.4039 hourly,$12.5458 hourly,$8.7847 hourly,$10.2900 hourly,$6.4638 hourly,$14.5810 hourly,$10.8199 hourly,$16.2034 hourly,$12.4423 hourly,$26.1010 hourly,$22.3399 hourly,$50.5810 hourly,$46.8199 hourly,$11.7874 hourly,$8.0263 hourly,$21.6850 hourly,$17.9239 hourly,$46.1650 hourly,$42.4039 hourly,$2.0920 hourly
R7A Double Extra Large,r7a.2xlarge,64 GiB,0 units,8 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
C5AD Eight Extra Large,c5ad.8xlarge,64 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R32,3.3 GHz,unknown,unknown,unknown,unknown,1200 GB (2×600 GB NVMe SSD),Yes,No,x86_64,10 Gigabit,3170 Mbps,396.25 MB/s,13300 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$1.8080 hourly,$1.1390 hourly,$2.6020 hourly,$1.9330 hourly,$1.9330 hourly,$1.1990 hourly,$3.2800 hourly,$2.6110 hourly,$3.8210 hourly,$3.1520 hourly,$7.1200 hourly,$6.4510 hourly,$15.2800 hourly,$14.6110 hourly,$2.3490 hourly,$1.6800 hourly,$5.6480 hourly,$4.9790 hourly,$13.8080 hourly,$13.1390 hourly,$0.2700 hourly
R5N Eight Extra Large,r5n.8xlarge,256 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),2.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,25 Gigabit,6800 Mbps,850 MB/s,30000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$2.8960 hourly,$1.8240 hourly,$3.2420 hourly,$2.1700 hourly,$3.0210 hourly,$1.8840 hourly,$4.3680 hourly,$3.2960 hourly,$4.9090 hourly,$3.8370 hourly,$8.2080 hourly,$7.1360 hourly,$16.3680 hourly,$15.2960 hourly,$3.4370 hourly,$2.3650 hourly,$6.7360 hourly,$5.6640 hourly,$14.8960 hourly,$13.8240 hourly,$0.2700 hourly
M5A Eight Extra Large,m5a.8xlarge,128 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,Up to 10 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$1.7280 hourly,$1.0890 hourly,$2.0740 hourly,$1.4340 hourly,$1.8530 hourly,$1.1490 hourly,$3.2000 hourly,$2.5610 hourly,$3.7410 hourly,$3.1010 hourly,$7.0400 hourly,$6.4010 hourly,$15.2000 hourly,$14.5610 hourly,$2.2690 hourly,$1.6290 hourly,$5.5680 hourly,$4.9290 hourly,$13.7280 hourly,$13.0890 hourly,$0.2700 hourly
