Name,API Name,Instance Memory,Compute Units (ECU),vCPUs,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,Placement Group Support,Linux Virtualization,On EMR,Linux On Demand,Linux Reserved cost,RHEL On Demand cost,RHEL Reserved cost,SLES On Demand cost,SLES Reserved cost,Windows On Demand cost,Windows Reserved cost,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,EMR cost
R6IDN 12xlarge,r6idn.12xlarge,384 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,2850 GB (2×1425 GB NVMe SSD),Yes,No,x86_64,75 Gigabit,37500 Mbps,4687.5 MB/s,150000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$5.7283 hourly,$3.6088 hourly,$6.9187 hourly,$4.7992 hourly,$5.8533 hourly,$3.6687 hourly,$7.9363 hourly,$5.8168 hourly,$8.7475 hourly,$6.6280 hourly,$13.6963 hourly,$11.5768 hourly,$25.9363 hourly,$23.8168 hourly,$6.5395 hourly,$4.4200 hourly,$11.4883 hourly,$9.3688 hourly,$23.7283 hourly,$21.6088 hourly,$1.1723 hourly
C5N 18xlarge,c5n.18xlarge,192 GiB,281 units,72 vCPUs,0,,0 GiB,0,0,3.9028 units,Intel Xeon Platinum 8124M,3 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,100 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$5.0760 hourly,$3.1980 hourly,$5.8540 hourly,$3.9750 hourly,$5.2010 hourly,$3.2580 hourly,$8.3880 hourly,$6.5100 hourly,$9.6050 hourly,$7.7270 hourly,$17.0280 hourly,$15.1500 hourly,$35.3880 hourly,$33.5100 hourly,$6.2930 hourly,$4.4150 hourly,$13.7160 hourly,$11.8380 hourly,$32.0760 hourly,$30.1980 hourly,$0.2700 hourly
R6ID Eight Extra Large,r6id.8xlarge,256 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,1900 GB NVMe SSD,Yes,No,x86_64,12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$2.7840 hourly,$1.7539 hourly,$3.1296 hourly,$2.0995 hourly,$2.9090 hourly,$1.8138 hourly,$4.2560 hourly,$3.2259 hourly,$4.7968 hourly,$3.7667 hourly,$8.0960 hourly,$7.0659 hourly,$16.2560 hourly,$15.2259 hourly,$3.3248 hourly,$2.2947 hourly,$6.6240 hourly,$5.5939 hourly,$14.7840 hourly,$13.7539 hourly,$0.6048 hourly
I3EN 12xlarge,i3en.12xlarge,384 GiB,168 units,48 vCPUs,0,,0 GiB,0,0,3.5000 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,30000 GB (4×7500 GB NVMe SSD),Yes,No,x86_64,50 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$6.5040 hourly,$4.4480 hourly,$7.0220 hourly,$4.9660 hourly,$6.6290 hourly,$4.5080 hourly,$8.7120 hourly,$6.6560 hourly,$9.5230 hourly,$7.4670 hourly,$14.4720 hourly,$12.4160 hourly,$26.7120 hourly,$24.6560 hourly,$7.3150 hourly,$5.2590 hourly,$12.2640 hourly,$10.2080 hourly,$24.5040 hourly,$22.4480 hourly,$0.2700 hourly
M6IN Extra Large,m6in.xlarge,16 GiB,0 units,4 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 30 Gigabit,25000 Mbps,3125 MB/s,100000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.3510 hourly,$0.2211 hourly,$0.4786 hourly,$0.3487 hourly,$0.4073 hourly,$0.2711 hourly,$0.5350 hourly,$0.4051 hourly,$0.6026 hourly,$0.4727 hourly,$1.0150 hourly,$0.8851 hourly,$2.0350 hourly,$1.9051 hourly,$0.4186 hourly,$0.2887 hourly,$0.8310 hourly,$0.7011 hourly,$1.8510 hourly,$1.7211 hourly,$0.0696 hourly
X2IEDN 32xlarge,x2iedn.32xlarge,4096 GiB,0 units,128 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Icelake),3.5 GHz,Yes,Yes,Yes,Yes,3800 GB (2×1900 GB NVMe SSD),Yes,No,x86_64,100 Gigabit,80000 Mbps,10000 MB/s,260000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$38.6820 hourly,$23.8010 hourly,$41.2548 hourly,$26.3738 hourly,$38.8070 hourly,$23.8610 hourly,$44.5700 hourly,$29.6890 hourly,$46.7332 hourly,$31.8522 hourly,$59.9300 hourly,$45.0490 hourly,$92.5700 hourly,$77.6890 hourly,$40.8452 hourly,$25.9642 hourly,$54.0420 hourly,$39.1610 hourly,$86.6820 hourly,$71.8010 hourly,$6.6690 hourly
C5 High-CPU 18xlarge,c5.18xlarge,144 GiB,281 units,72 vCPUs,0,,0 GiB,0,0,3.9028 units,Intel Xeon Platinum 8124M,3.4 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,25 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$3.9960 hourly,$2.5170 hourly,$4.7740 hourly,$3.2950 hourly,$4.0960 hourly,$2.5500 hourly,$7.3080 hourly,$5.8290 hourly,$8.5250 hourly,$7.0460 hourly,$15.9480 hourly,$14.4690 hourly,$34.3080 hourly,$32.8290 hourly,$5.2130 hourly,$3.7340 hourly,$12.6360 hourly,$11.1570 hourly,$30.9960 hourly,$29.5170 hourly,$0.2700 hourly
C6IN Metal,c6in.metal,256 GiB,0 units,128 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,200 Gigabit,100000 Mbps,12500 MB/s,400000 IOPS,Yes,800,16,Yes,Yes,Yes,Unknown,No,$9.4752 hourly,$5.9694 hourly,$10.7040 hourly,$7.1982 hourly,$9.6002 hourly,$6.0293 hourly,$15.3632 hourly,$11.8574 hourly,$17.5264 hourly,$14.0206 hourly,$30.7232 hourly,$27.2174 hourly,$63.3632 hourly,$59.8574 hourly,$11.6384 hourly,$8.1326 hourly,$24.8352 hourly,$21.3294 hourly,$57.4752 hourly,$53.9694 hourly,unavailable
C7A Eight Extra Large,c7a.8xlarge,64 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,Up to 3.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
C5N 9xlarge,c5n.9xlarge,96 GiB,139 units,36 vCPUs,0,,0 GiB,0,0,3.8611 units,Intel Xeon Platinum 8124M,3 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,50 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$2.5380 hourly,$1.5990 hourly,$3.4310 hourly,$2.4920 hourly,$2.6630 hourly,$1.6590 hourly,$4.1940 hourly,$3.2550 hourly,$4.8020 hourly,$3.8630 hourly,$8.5140 hourly,$7.5750 hourly,$17.6940 hourly,$16.7550 hourly,$3.1460 hourly,$2.2070 hourly,$6.8580 hourly,$5.9190 hourly,$16.0380 hourly,$15.0990 hourly,$0.2700 hourly
X1E 16xlarge,x1e.16xlarge,1952 GiB,179 units,64 vCPUs,0,,0 GiB,0,0,2.7969 units,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,Yes,Yes,unknown,unknown,1920 GB SSD,Yes,No,x86_64,10 Gigabit,7000 Mbps,875 MB/s,40000 IOPS,No,240,8,Yes,Yes,Yes,Unknown,Yes,$19.3440 hourly,$11.9190 hourly,$20.0350 hourly,$12.6110 hourly,$19.4440 hourly,$11.9520 hourly,$22.2880 hourly,$14.8630 hourly,$23.3700 hourly,$15.9450 hourly,$29.9680 hourly,$22.5430 hourly,$46.2880 hourly,$38.8630 hourly,$20.4260 hourly,$13.0010 hourly,$27.0240 hourly,$19.5990 hourly,$43.3440 hourly,$35.9190 hourly,$3.3360 hourly
R7IZ Eight Extra Large,r7iz.8xlarge,256 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),3.9 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
R6IDN Metal,r6idn.metal,1024 GiB,0 units,128 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,7600 GB (4×1900 GB NVMe SSD),Yes,No,x86_64,200 Gigabit,100000 Mbps,12500 MB/s,400000 IOPS,Yes,800,16,Yes,Yes,Yes,Unknown,No,$15.2755 hourly,$9.6236 hourly,$16.5043 hourly,$10.8524 hourly,$15.4005 hourly,$9.6835 hourly,$21.1635 hourly,$15.5116 hourly,$23.3267 hourly,$17.6748 hourly,$36.5235 hourly,$30.8716 hourly,$69.1635 hourly,$63.5116 hourly,$17.4387 hourly,$11.7868 hourly,$30.6355 hourly,$24.9836 hourly,$63.2755 hourly,$57.6236 hourly,unavailable
R4 High-Memory Quadruple Extra Large,r4.4xlarge,122 GiB,58 units,16 vCPUs,0,,0 GiB,0,0,3.6250 units,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,unknown,Yes,EBS only,N/A,N/A,x86_64,Up to 10 Gigabit,3500 Mbps,437.5 MB/s,18750 IOPS,No,240,8,Yes,Yes,Yes,Unknown,Yes,$1.2768 hourly,$0.8064 hourly,$1.4528 hourly,$0.9792 hourly,$1.3768 hourly,$0.8394 hourly,$2.0128 hourly,$1.5424 hourly,$2.2948 hourly,$1.8244 hourly,$3.9360 hourly,$3.4624 hourly,$8.0128 hourly,$7.5424 hourly,$1.5504 hourly,$1.0768 hourly,$3.2000 hourly,$2.7264 hourly,$7.2800 hourly,$6.8064 hourly,$0.2660 hourly
M6ID Double Extra Large,m6id.2xlarge,32 GiB,0 units,8 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,474 GB NVMe SSD,Yes,No,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.5964 hourly,$0.3757 hourly,$0.8516 hourly,$0.6309 hourly,$0.7214 hourly,$0.4356 hourly,$0.9644 hourly,$0.7437 hourly,$1.0996 hourly,$0.8789 hourly,$1.9244 hourly,$1.7037 hourly,$3.9644 hourly,$3.7437 hourly,$0.7316 hourly,$0.5109 hourly,$1.5564 hourly,$1.3357 hourly,$3.5964 hourly,$3.3757 hourly,$0.1187 hourly
M5 General Purpose Eight Extra Large,m5d.8xlarge,128 GiB,128 units,32 vCPUs,0,,0 GiB,0,0,4.0000 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,1200 GB (2×600 GB NVMe SSD),Yes,No,x86_64,10 Gigabit,6800 Mbps,850 MB/s,30000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$2.2720 hourly,$1.4310 hourly,$2.6180 hourly,$1.7770 hourly,$2.3720 hourly,$1.4640 hourly,$3.7440 hourly,$2.9030 hourly,$4.2850 hourly,$3.4440 hourly,$7.5840 hourly,$6.7430 hourly,$15.7440 hourly,$14.9030 hourly,$2.8130 hourly,$1.9720 hourly,$6.1120 hourly,$5.2710 hourly,$14.2720 hourly,$13.4310 hourly,$0.2700 hourly
X2IDN Metal,x2idn.metal,2048 GiB,0 units,128 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Icelake),3.5 GHz,Yes,Yes,Yes,Yes,3800 GB (2×1900 GB NVMe SSD),Yes,No,x86_64,100 Gigabit,80000 Mbps,10000 MB/s,260000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$19.3410 hourly,$11.9005 hourly,$20.5698 hourly,$13.1293 hourly,$19.4660 hourly,$11.9605 hourly,$25.2290 hourly,$17.7885 hourly,$27.3922 hourly,$19.9517 hourly,$40.5890 hourly,$33.1485 hourly,$73.2290 hourly,$65.7885 hourly,$21.5042 hourly,$14.0637 hourly,$34.7010 hourly,$27.2605 hourly,$67.3410 hourly,$59.9005 hourly,unavailable
M8G Eight Extra Large,m8g.8xlarge,128 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,15 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,No,$1.7952 hourly,$1.1875 hourly,$2.5888 hourly,$1.9811 hourly,$1.9202 hourly,$1.2474 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
C5 High-CPU 24xlarge,c5d.24xlarge,192 GiB,375 units,96 vCPUs,0,,0 GiB,0,0,3.9063 units,Intel Xeon Platinum 8275L,3.4 GHz,Yes,Yes,Yes,Yes,3600 GB (4×900 GB NVMe SSD),Yes,No,x86_64,25 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$6.0480 hourly,$3.8100 hourly,$7.0850 hourly,$4.8470 hourly,$6.1480 hourly,$3.8430 hourly,$10.4640 hourly,$8.2260 hourly,$12.0860 hourly,$9.8490 hourly,$21.9840 hourly,$19.7460 hourly,$46.4640 hourly,$44.2260 hourly,$7.6700 hourly,$5.4330 hourly,$17.5680 hourly,$15.3300 hourly,$42.0480 hourly,$39.8100 hourly,$0.2700 hourly
C5 High-CPU Metal,c5d.metal,192 GiB,375 units,96 vCPUs,0,,0 GiB,0,0,3.9063 units,Intel Xeon Platinum 8275L,3.4 GHz,Yes,Yes,Yes,Yes,3600 GB (4×900 GB NVMe SSD),Yes,No,x86_64,25 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$6.0480 hourly,$3.8100 hourly,$7.0850 hourly,$4.8470 hourly,$6.1480 hourly,$3.8430 hourly,$10.4640 hourly,$8.2260 hourly,$12.0860 hourly,$9.8490 hourly,$21.9840 hourly,$19.7460 hourly,$46.4640 hourly,$44.2260 hourly,$7.6700 hourly,$5.4330 hourly,$17.5680 hourly,$15.3300 hourly,$42.0480 hourly,$39.8100 hourly,unavailable
M5 General Purpose 12xlarge,m5.12xlarge,192 GiB,168 units,48 vCPUs,0,,0 GiB,0,0,3.5000 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,12 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$2.8800 hourly,$1.8140 hourly,$3.3980 hourly,$2.3330 hourly,$2.9800 hourly,$1.8470 hourly,$5.0880 hourly,$4.0220 hourly,$5.8990 hourly,$4.8340 hourly,$10.8480 hourly,$9.7820 hourly,$23.0880 hourly,$22.0220 hourly,$3.6910 hourly,$2.6260 hourly,$8.6400 hourly,$7.5740 hourly,$20.8800 hourly,$19.8140 hourly,$0.2700 hourly
I7I 24xlarge,i7i.24xlarge,768 GiB,0 units,96 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Emerald Rapids),3.2 GHz,Yes,Yes,Yes,Yes,22500 GB (6×3750 GB NVMe SSD),Yes,No,x86_64,Up to 56.25 Gigabit,30000 Mbps,3750 MB/s,120000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
R4 High-Memory Double Extra Large,r4.2xlarge,61 GiB,31 units,8 vCPUs,0,,0 GiB,0,0,3.8750 units,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,unknown,Yes,EBS only,N/A,N/A,x86_64,Up to 10 Gigabit,1700 Mbps,212.5 MB/s,12000 IOPS,No,60,4,Yes,Yes,Yes,Unknown,Yes,$0.6384 hourly,$0.4032 hourly,$0.7552 hourly,$0.5184 hourly,$0.7384 hourly,$0.4362 hourly,$1.0064 hourly,$0.7712 hourly,$0.8934 hourly,$0.7030 hourly,$1.9680 hourly,$1.7312 hourly,$4.0064 hourly,$3.7712 hourly,$0.7752 hourly,$0.5384 hourly,$1.6000 hourly,$1.3632 hourly,$3.6400 hourly,$3.4032 hourly,$0.1330 hourly
C5N Metal,c5n.metal,192 GiB,0 units,72 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8124M,3 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,100 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$5.0760 hourly,$3.1980 hourly,$6.8620 hourly,$4.9830 hourly,$5.2010 hourly,$3.2580 hourly,$8.3880 hourly,$6.5100 hourly,$9.6050 hourly,$7.7270 hourly,$17.0280 hourly,$15.1500 hourly,$35.3880 hourly,$33.5100 hourly,$6.2930 hourly,$4.4150 hourly,$13.7160 hourly,$11.8380 hourly,$32.0760 hourly,$30.1980 hourly,unavailable
R7GD Metal,r7gd.metal,512 GiB,0 units,64 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,unknown,unknown,unknown,unknown,3800 GB (2×1900 GB NVMe SSD),Yes,No,arm64,30 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$5.0112 hourly,$3.1571 hourly,$6.5984 hourly,$4.7443 hourly,$5.1362 hourly,$3.2170 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
R7IZ 12xlarge,r7iz.12xlarge,384 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),3.9 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,25 Gigabit,19000 Mbps,2375 MB/s,76000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
R5N Metal,r5n.metal,768 GiB,0 units,96 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),2.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,100 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$8.6880 hourly,$5.4730 hourly,$9.7250 hourly,$6.5100 hourly,$8.8130 hourly,$5.5330 hourly,$13.1040 hourly,$9.8890 hourly,$14.7260 hourly,$11.5120 hourly,$24.6240 hourly,$21.4090 hourly,$49.1040 hourly,$45.8890 hourly,$10.3100 hourly,$7.0960 hourly,$20.2080 hourly,$16.9930 hourly,$44.6880 hourly,$41.4730 hourly,unavailable
I3EN Large,i3en.large,16 GiB,10 units,2 vCPUs,0,,0 GiB,0,0,5.0000 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,1250 GB NVMe SSD,Yes,No,x86_64,Up to 25 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,30,3,Yes,Yes,Yes,Unknown,No,$0.2710 hourly,$0.1850 hourly,$0.3350 hourly,$0.2490 hourly,$0.3270 hourly,$0.2100 hourly,$0.3630 hourly,$0.2770 hourly,$0.4310 hourly,$0.3450 hourly,$0.8430 hourly,$0.7570 hourly,unavailable,unavailable,$0.3390 hourly,$0.2530 hourly,$0.7510 hourly,$0.6650 hourly,unavailable,unavailable,unavailable
C8G Metal-48xl,c8g.metal-48xl,384 GiB,0 units,192 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,50 Gigabit,40000 Mbps,5000 MB/s,240000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$9.9648 hourly,$6.5792 hourly,$11.8080 hourly,$8.4224 hourly,$10.0898 hourly,$6.6391 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
M7I 16xlarge,m7i.16xlarge,256 GiB,0 units,64 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,25 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$4.0320 hourly,$2.6672 hourly,$5.6192 hourly,$4.2544 hourly,$4.1570 hourly,$2.7271 hourly,$6.9760 hourly,$5.6112 hourly,$8.0576 hourly,$6.6928 hourly,$14.6560 hourly,$13.2912 hourly,$30.9760 hourly,$29.6112 hourly,$5.1136 hourly,$3.7488 hourly,$11.7120 hourly,$10.3472 hourly,$28.0320 hourly,$26.6672 hourly,$0.8064 hourly
M6I Eight Extra Large,m6i.8xlarge,128 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$1.9200 hourly,$1.2701 hourly,$2.7136 hourly,$2.0637 hourly,$2.0450 hourly,$1.3301 hourly,$3.3920 hourly,$2.7421 hourly,$3.9328 hourly,$3.2829 hourly,$7.2320 hourly,$6.5821 hourly,$15.3920 hourly,$14.7421 hourly,$2.4608 hourly,$1.8109 hourly,$5.7600 hourly,$5.1101 hourly,$13.9200 hourly,$13.2701 hourly,$0.3840 hourly
R5 Double Extra Large,r5.2xlarge,64 GiB,37 units,8 vCPUs,0,,0 GiB,0,0,4.6250 units,Intel Xeon Platinum 8175,3.1 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 10 Gigabit,4750 Mbps,593.75 MB/s,18750 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.6040 hourly,$0.3810 hourly,$0.8590 hourly,$0.6360 hourly,$0.7290 hourly,$0.4410 hourly,$0.9720 hourly,$0.7490 hourly,$1.1070 hourly,$0.8840 hourly,$1.9320 hourly,$1.7090 hourly,$3.9720 hourly,$3.7490 hourly,$0.7390 hourly,$0.5160 hourly,$1.5640 hourly,$1.3410 hourly,$3.6040 hourly,$3.3810 hourly,$0.1260 hourly
M5A Extra Large,m5a.xlarge,16 GiB,0 units,4 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,Up to 10 Gigabit,2880 Mbps,360 MB/s,16000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.2160 hourly,$0.1360 hourly,$0.3440 hourly,$0.2640 hourly,$0.2720 hourly,$0.1860 hourly,$0.4000 hourly,$0.3200 hourly,$0.4680 hourly,$0.3880 hourly,$0.8800 hourly,$0.8000 hourly,$1.9000 hourly,$1.8200 hourly,$0.2840 hourly,$0.2040 hourly,$0.6960 hourly,$0.6160 hourly,$1.7160 hourly,$1.6360 hourly,$0.0430 hourly
C5 High-CPU 9xlarge,c5d.9xlarge,72 GiB,139 units,36 vCPUs,0,,0 GiB,0,0,3.8611 units,Intel Xeon Platinum 8124M,3.4 GHz,Yes,Yes,Yes,Yes,900 GB NVMe SSD,Yes,No,x86_64,12 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$2.2680 hourly,$1.4290 hourly,$3.1610 hourly,$2.3220 hourly,$2.3680 hourly,$1.4620 hourly,$3.9240 hourly,$3.0850 hourly,$4.5320 hourly,$3.6930 hourly,$8.2440 hourly,$7.4050 hourly,$17.4240 hourly,$16.5850 hourly,$2.8760 hourly,$2.0370 hourly,$6.5880 hourly,$5.7490 hourly,$15.7680 hourly,$14.9290 hourly,$0.2700 hourly
I7IE 24xlarge,i7ie.24xlarge,768 GiB,0 units,96 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Emerald Rapids),3.2 GHz,Yes,Yes,Yes,Yes,60000 GB (8×7500 GB NVMe SSD),Yes,No,x86_64,Up to 100 Gigabit,30000 Mbps,3750 MB/s,120000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
M7I Extra Large,m7i.xlarge,16 GiB,0 units,4 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.2520 hourly,$0.1667 hourly,$0.3096 hourly,$0.2243 hourly,$0.3083 hourly,$0.2167 hourly,$0.4360 hourly,$0.3507 hourly,$0.5036 hourly,$0.4183 hourly,$0.9160 hourly,$0.8307 hourly,$1.9360 hourly,$1.8507 hourly,$0.3196 hourly,$0.2343 hourly,$0.7320 hourly,$0.6467 hourly,$1.7520 hourly,$1.6667 hourly,$0.0504 hourly
